case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
2009.04.28,2009,USA,Florida,"St. Augustine, St. John's County",Unknown,F,Unknown,ankle,N,16,Unknown
2009.04.03,2009,USA,Florida,"Sanibel Island, Lee County",Wading,M,15,ankle,N,16,Unknown
1988.03.25,1988,USA,Hawaii,"Running Waters Beach, Ninini Point, Kaua'i",Body surfing,M,Unknown,ankle,N,Unknown,Unknown
2008.08.28,2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,ankle,N,12,Unknown
1986.11.04,1986,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,23,ankle,N,Unknown,Unknown
2008.04.03,2008,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,18,ankle,N,12,Unknown
2008.03.21,2008,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,M,14,ankle,N,15,Unknown
2007.08.11,2007,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,19,ankle,N,18,Unknown
1998.10.24,1998,USA,Florida,"Jupiter Beach, Palm Beach County",Swimming,F,17,ankle,N,15,Unknown
1994.05.23,1994,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,26,ankle,N,15,Unknown
2006.10.10,2006,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,20,ankle,N,11,Unknown
2006.07.12,2006,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,F,21,ankle,N,13,Unknown
2006.04.19,2006,USA,Florida,"Daytona Beach, Volusia County",Standing,F,13,ankle,N,15,Unknown
2005.07.01,2005,USA,Florida,"Boca Grande, Lee County",Standing,M,19,ankle,N,11,Unknown
1971.07.26,1971,USA,Florida,"Daytona Beach, Volusia County",Wading,M,8,ankle,N,15,Unknown
2003.12.08,2003,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,36,ankle,N,9,Unknown
2003.10.27,2003,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,ankle,N,12,Unknown
2003.10.05.d,2003,USA,Florida,"Stuart Park Beach, Martin County",Surfing,M,18,ankle,N,14,Unknown
2003.10.05.c,2003,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,30,ankle,N,14,Unknown
2003.06.08,2003,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Unknown,15,ankle,N,11,Unknown
2001.09.18,2001,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,ankle,N,15,Unknown
1978.08.01.R,1978,USA,Florida,Florida Straits,Floating on inner tube raft,M,27,ankle,N,Unknown,Unknown
1976.08.26,1976,USA,North Carolina,"Emerald Isle Pier (near Morehead City), Carteret County","Surfing, fell off surfboard",M,23,ankle,N,Unknown,Unknown
2001.04.13.b,2001,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,ankle,N,11,Unknown
2001.04.12.d,2001,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38,ankle,N,16,Unknown
2000.06.19,2000,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Standing,M,52,ankle,N,7,Unknown
1997.08.30,1997,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,ankle,N,13,Unknown
1996.09.18,1996,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,14,ankle,N,13,Unknown
2005.09.07,2005,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",Standing,M,15,ankle,N,18,Unknown
1988.06.05,1988,USA,Florida,"Daytona Beach, Volusia County",Swimming,M,12,ankle,N,12,Unknown
1979.04.08.b,1979,USA,Florida,"Public Beach (Carlin Park), Jupiter, Palm Beach County",Swimming,M,24,ankle,N,13,Unknown
2009.04.21,2009,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,ankle,N,15,Unknown
1964.08.26,1964,USA,Florida,"Hollywood Beach, Broward County",Swimming,M,14,ankle,N,14,Unknown
1964.01.23,1964,SOUTH AFRICA,Eastern Cape Province,Nahoon,Body surfing,M,39,ankle,N,16,Unknown
1963.11.25,1963,FIJI,Vita Levu,Rewa River,Spearing fish,M,25,ankle,N,14,Unknown
2014.06.01.b,2014,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,Unknown,ankle,N,9,Unknown
1944.03.14,1944,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Treading water,M,16,ankle,N,17,Unknown
1930.08.06,1930,USA,Florida,"Palm Beach Inlet, Palm Beach County",Swimming,M,Unknown,ankle,N,6,Unknown
1941.12.03,1941,AUSTRALIA,Western Australia,Carnarvon,Swimming,M,10,ankle,N,21,Unknown
1940.07.13.b,1940,USA,South Carolina,"Folly Beach, Charleston County",Standing,M,Unknown,ankle,N,Unknown,Unknown
1938.07.18,1938,USA,South Carolina,Charleston,Swimming,M,Unknown,ankle,N,Unknown,Unknown
1935.07.27.b,1935,USA,California,Santa Barbara Channel,fishing boat exploded & sank,M,23,ankle,Y,Unknown,Unknown
1933.08.28.a,1933,USA,South Carolina,"Pawleyï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s I",Bathing,M,Unknown,ankle,N,Unknown,Unknown
1932.06.26,1932,USA,New Jersey,"Off Ocean City, Cape May County",Fishing,M,Unknown,ankle,N,Unknown,Unknown
1929.08.05,1929,USA,South Carolina,Fort Moultrie,Bathing,M,Unknown,ankle,N,Unknown,Unknown
1916.07.13,1916,USA,New York,"Sheepshead Bay, Brooklyn",Swimming,M,Unknown,ankle,N,Unknown,Unknown
1915.11.08,1915,AUSTRALIA,New South Wales,Manly,Bathing,M,Unknown,ankle,N,Unknown,Unknown
1875.11.27.R,1875,AUSTRALIA,New South Wales,Clarence Heads,Fishing,M,Unknown,ankle,N,Unknown,Unknown
1862.00.00.b,1862,USA,Hawaii,Puna,Unknown,F,Unknown,ankle,N,Unknown,Unknown
1847.00.00.c,1847,AUSTRALIA,Queensland,Moreton Bay,Unknown,Unknown,Unknown,ankle,N,Unknown,Unknown
ND.0010,1862,USA,Hawaii,Puna,Unknown,F,Unknown,ankle,N,Unknown,Unknown
ND.0056,1958,USA,Florida,"Palm Beach, Palm Beach County",Standing,M,Unknown,ankle,N,Unknown,Unknown
2004.10.30.a,2004,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,ankle,N,9,white shark
1996.11.29.a,1996,USA,California,"Salmon Creek Beach, Sonoma County",Surfing,M,45,ankle,N,8,white shark
2005.06.05,2005,USA,New Jersey,"Surf City, Long Beach Island, Ocean County",Surfing,M,17,ankle,N,11,white shark
2010.04.04,2010,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,Swimming / treading water,M,24,ankle,N,14,white shark
1981.03.04,1981,CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo",Free diving Spearfishing,M,Unknown,ankle,N,10,white shark
1964.02.08,1964,SOUTH AFRICA,Western Cape Province,Muizenberg,Body boarding,M,25,ankle,N,8,white shark
1959.10.04,1959,USA,California,"Bodega Rock, Sonoma County",Diving for abalone,M,30,ankle,N,15,white shark
2011.03.10.R,2011,EGYPT,South Sinai Peninsula,Sharm-el-Sheikh,Unknown,F,Unknown,Unknown,N,Unknown,Unknown
1960.08.04.b,1960,ENGLAND,In the English Channel ,Off the south Devon coast,Helping angler land a shark,M,25,arm,N,Unknown,Unknown
1960.02.27.a,1960,USA,Hawaii,"Between Keawakapu & Makena, Maui",Spearfishing,M,36,arm,N,8,Unknown
2009.10.17,2009,SCOTLAND,Fife,Deep Sea World Aquarium,Diving,M,23,arm,N,14,angel shark
2006.06.30.b,2006,USA,Florida,"Florida Keys, Monroe County",Spearfishing,F,28,arm,N,Unknown,blacktip shark
1986.12.11,1986,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,40,arm,N,14,blacktip shark
1992.11.25.a,1992,USA,Florida,"Brevard County, a mile north of Sebastian Inlet",Surfing,M,19,arm,N,7,blacktip shark
1968.11.06,1968,SOUTH AFRICA,KwaZulu-Natal,Ramsgate,Fishing,M,22,arm,N,Unknown,blacktip shark
2013.10.28,2013,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,F,60,arm,N,15,blacktip shark
2009.05.12,2009,GUAM,North Region,Ritidian Point,Spearfishing,M,27,arm,N,15,blacktip shark
ND-0123,2009,USA,Florida,Unknown,Shark tagging,F,21,arm,N,18,blacktip shark
1989.09.03,1989,USA,California,24 km off Santa Catalina Island in the Channel Islands,Filming 5' blue shark,M,46,arm,N,Unknown,blue shark
1968.06.00,1968,ENGLAND,Unknown,Unknown,Unknown,M,Unknown,arm,N,Unknown,blue shark
1943.05.01.R,1943,INDIAN OCEAN,Unknown,Unknown,ship torpedoed 400 miles off the African coas. Man was clinging to hatch cover,M,Unknown,arm,N,Unknown,blue shark
1933.02.12,1933,AUSTRALIA,South Australia,"Port River, Adelaide",Fishing,M,Unknown,arm,N,Unknown,blue shark
1959.11.10,1959,USA,California,"Near Paradise Cove, Malibu, Los Angeles County",Swimming at surface through school of feeding 2.5' to 5ï¿½ï¿½ï¿,M,21,arm,N,13,blue shark
2009.03.02,2009,SOUTH AFRICA,Western Cape Province,Off Cape Point,Fishing,M,40,arm,N,13,blue shark
1933.08.28.b,1933,USA,California,"Hermosa Beach, Los Angeles County","Fishing, caught a 15' shark & took it onboard",M,Unknown,arm,N,Unknown,blue shark
1984.09.17,1984,USA,California,"Mission Beach, San Diego County",Wading,M,Unknown,arm,N,15,blue shark
1963.12.20.a,1963,SOUTH AFRICA,KwaZulu-Natal,Umvoti,Splashing in surf,M,15,arm,Y,12,bull shark
2011.04.12,2011,INDONESIA,Bali,Balian,Surfing,M,Unknown,arm,N,9,bull shark
2003.08.29,2003,USA,Texas,1.5 miles off Surfside ,Fishing,M,Unknown,arm,N,12,bull shark
2016.04.13,2016,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,arm,N,Unknown,bull shark
2015.07.22,2015,REUNION,Unknown,St. Leu,Surfing,M,45,arm,N,Unknown,bull shark
2014.08.25,2014,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,Unknown,arm,N,Unknown,bull shark
1976.11.25,1976,USA,Florida,"Delray Beach, Palm Beach County",Surfing,M,19,arm,N,10,bull shark
2004.10.31,2004,CUBA,Camaguey Province,Santa Lucia,Diving,M,40,arm,N,14,bull shark
1999.08.05,1999,BAHAMAS,Abaco Islands,Grand Cay,Spearfishing & holding catch,M,35,arm,N,17,bull shark
1973.09.14,1973,BAHAMAS,Grand Bahama Island,"Memory Rock, 18 miles from NW end of the Island","Free diving, Spearfishing",M,11,arm,N,14,bull shark
2015.06.14.a,2015,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12,arm,N,16,bull shark
2004.07.25,2004,USA,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,11,arm,N,19,bull shark
2004.05.23.b,2004,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,17,arm,N,14,bull shark
1938.05.15,1938,IRAQ,Basrah City,"Ashar Canal, where people wash clothes & kitchen pans","Swimming, naked",M,10,arm,N,15,bull shark
2000.06.09.a,2000,USA,Alabama,"Gulf Shores, Baldwin County",Swimming ,M,44,arm,N,6,bull shark
ND.0064,1960,IRAQ,Basrah,Shatt-al-Arab River ,Swimming naked near a date palm where many dates fell into the water,M,6,arm,N,15,bull shark
2017.01.09,2017,INDONESIA,Bali,Balian Beach,Surfing,M,48,arm,N,7,bull shark
2006.11.09,2006,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Canoeing,M,Unknown,arm,N,15,bull shark
2001.07.06.a,2001,USA,Florida,Gulf Islands National Seashore,Swimming,M,8,arm,N,18,bull shark
2015.06.01,2015,REUNION,Le Port,Folette,Surfing,M,47,arm,N,15,bull shark
2011.03.23,2011,AUSTRALIA,New South Wales,Crowdy Head,Surfing,M,48,arm,N,17,bull shark
2016.08.27,2016,REUNION,Unknown,Boucan Canot,Surfing,M,20,arm,N,17,bull shark
2009.12.20.a,2009,AUSTRALIA,Queensland,Lamont Reef,Spearfishing,M,18,arm,N,7,bull shark
2000.06.09.b,2000,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,55,arm,N,6,bull shark
2007.08.07,2007,USA,Florida,"Islamorada, Monroe County",Jumped into the water,F,19,arm,N,15,bull shark
2012.03.15,2012,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,61,arm,N,15,bull shark
2013.10.05.b,2013,USA,Florida,"Destin, Okaloosa County",Wading,M,12,arm,N,15,bull shark
1986.10.00,1986,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,28,arm,N,Unknown,bull shark
1953.04.00.b,1953,IRAN,Karun River,"near Ahvaz, 275 km from the sea",Unknown,M,Unknown,arm,N,Unknown,bull shark
1953.04.00.a,1953,IRAN,Karun River,"near Ahvaz, 275 km from the sea",Swimming in midriver near sewage outlet & 400 m from a slaughterhouse,M,Unknown,arm,N,Unknown,bull shark
1970.01.23.b,1970,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,12,arm,N,Unknown,bull shark
1963.01.06,1963,SOUTH AFRICA,KwaZulu-Natal,"Selection Reef, Umdhloti",Spearfishing,M,24,arm,N,16,bull shark
2004.05.18,2004,BAHAMAS,Abaco Islands,Green Turtle Cay,Free diving & spearfishing,M,63,arm,N,15,caribbean reef shark
1991.07.27,1991,USA,Florida,"John Pennekamp Marine Park, Monroe County",Snorkeling,M,39,arm,N,Unknown,caribbean reef shark
2017.02.01.a,2017,BAHAMAS,Bimini,Unknown,Scuba Diving,M,37,arm,N,Unknown,caribbean reef shark
2011.01.26,2011,BAHAMAS,West End,Tiger Beach,Scuba diving,M,55,arm,N,15,caribbean reef shark
1997.05.26,1997,BAHAMAS,Abaco Islands,Powell Cay,Spearfishing,M,54,arm,N,Unknown,caribbean reef shark
1966.01.10,1966,AUSTRALIA,Western Australia,Woodman Point,Jumped into the water,M,43,arm,N,Unknown,carpet shark
2007.07.18.a,2007,NORWAY,Oslo Fjord,Sjï¿½ï¿½ï,Scuba diving,M,48,arm,N,Unknown,cat shark
2002.06.03,2002,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Snorkeling (filming the sardine run),M,50,arm,N,Unknown,copper shark
1995.03.11,1995,AUSTRALIA,South Australia,Cactus Beach,Surfing,M,35,arm,N,7,copper shark
2000.12.03,2000,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",Spearfishing,M,38,arm,N,9,copper shark
1949.05.16,1949,AUSTRALIA,Western Australia,Broome,Bathing,F,22,arm,N,Unknown,copper shark
2014.05.04,2014,SOUTH AFRICA,Western Cape Province,Simonstown,Diving,Unknown,Unknown,arm,N,Unknown,cow shark
1767.00.00,1767,FRANCE,Cï¿½ï¿½ï¿½ï¿,St. Tropez,Bathing,M,Unknown,arm,N,Unknown,Unknown
2016.07.07.b,2016,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,arm,N,10,dogfish shark
2009.10.02,2009,UNITED KINGDOM,Devon,Mewstone Rock,Fishing,M,39,arm,N,12,dogfish shark
1984.02.17,1984,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Scuba diving,M,33,arm,N,9,dusky shark
1985.01.00.a,1985,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,Spearfishing,M,20,arm,N,11,dusky shark
2008.01.30,2008,JAPAN,Tokyo Bay,Unknown,Diving,Unknown,Unknown,arm,N,Unknown,goblin shark
1938.00.00.d,1938,TRINIDAD & TOBAGO,Trinidad,"Manzanilla Bay, St. Andrew County",Body surfing,M,50,arm,N,Unknown,grey reef shark
2016.04.18,2016,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,26,arm,N,Unknown,grey reef shark
2000.07.12,2000, TONGA,Minerva Reef,Treated at Nuku-alofa,Scuba diving,M,69,arm,N,Unknown,grey reef shark
1966.06.11,1966,USA,Florida,"Ft. Lauderdale, Broward County",Fishing,M,18,arm,N,9,hammerhead shark
1992.11.12.R,1992,FIJI,Wakaya Island,Unknown,Scuba diving,M,30,arm,N,Unknown,hammerhead shark
1961.05.15,1961,USA,Florida,"Laguna Beach, Bay County",Walking in chest-deep water,M,52,arm,N,11,hammerhead shark
2002.12.29,2002,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,18,arm,N,Unknown,hammerhead shark
2013.02.09,2013,FRENCH POLYNESIA,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",Scuba diving,M,48,arm,N,9,lemon shark
1981.05.16,1981,USA,Florida,"Jacksonville, Duval County",Diving,M,Unknown,arm,N,Unknown,lemon shark
2007.05.00,2007,BAHAMAS,Bimini Islands,Unknown,Shark tagging,F,20,arm,N,Unknown,lemon shark
1982.06.26.a,1982,BAHAMAS,Andros Islands,North Rat Cay Reef,Spearfishing ,M,19,arm,N,Unknown,lemon shark
1991.08.09,1991,USA,Florida,Florida Bay,Fishing,M,Unknown,arm,N,Unknown,lemon shark
1994.03.07,1994,USA,California,Unknown,Removing shark from tank in nightclub ,M,33,arm,N,Unknown,lemon shark
2010.04.28,2010,USA,Florida,Hanalei Bay,Measuring sharks,M,29,arm,N,15,lemon shark
2010.12.01.b,2010,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,54,arm,N,11,mako shark
1981.08.07,1981,BAHAMAS,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island ",Snorkeling on surface,M,53,arm,N,12,mako shark
2013.08.26,2013,FRANCE,Bay of Biscay,Unknown,Longline fishing for sharks,M,50,arm,N,20,mako shark
2007.12.14,2007,AUSTRALIA,New South Wales,Bondi ,Swimming,M,34,arm,N,20,Unknown
2013.09.01.c,2013,USA,Florida,Key West Aquarium,Unknown,M,3,arm,N,Unknown,nurse shark
1964.07.27,1964,USA,Puerto Rico,Unknown,Unknown,M,22,arm,N,11,nurse shark
2010.07.11,2010,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,Unknown,arm,N,Unknown,nurse shark
1963.09.10,1963,USA,Florida,"Snapper Point Jetty, Miami, Dade County","Spearfishing, pulled sharkï¿½ï¿½ï",M,16,arm,N,13,nurse shark
2002.03.15.b,2002,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,M,39,arm,N,9,nurse shark
2016.05.15,2016,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,arm,N,13,nurse shark
2016.07.27,2016,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43,arm,N,Unknown,nurse shark
1959.07.02,1959,USA,Florida,"Delray Beach, Palm Beach County",Free diving,M,13,arm,N,Unknown,nurse shark
2003.11.00,2003,PANAMA,Pearl Islands,Unknown,Spearfishing,M,Unknown,arm,N,Unknown,nurse shark
2011.10.28.,2011,SOUTH AFRICA,KwaZulu-Natal,"uShaka Aquarium, Durban",Diving,Unknown,Unknown,arm,N,Unknown,sandtiger shark
1986.02.06,1986,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,29,arm,N,13,sandtiger shark
1980.01.10,1980,SOUTH AFRICA,Eastern Cape Province,Kingï¿½ï¿½ï¿,Swimming,M,25,arm,N,18,sandtiger shark
1960.07.03,1960,USA,Virginia,Hog Island,"Fishing, tossing netted shark onboard",M,41,arm,N,12,sand shark
2014.06.09.b,2014,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16,arm,N,17,sandbar shark
2011.05.10,2011,USA,Florida,Miami,Fishing ,M,Unknown,arm,N,Unknown,sandbar shark
2005.08.21,2005,USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County",Swimming,M,8,arm,N,9,sandbar shark
1967.03.12,1967,AUSTRALIA,Victoria,Geelong,Spearfishing,M,36,arm,N,15,sandtiger shark
1967.11.30.a,1967,AUSTRALIA,Queensland,Surfer's Paradise,Unknown,M,18,arm,N,Unknown,sandtiger shark
1963.01.14,1963,NEW ZEALAND,North Island,"Petone Beach, Wellington",Fishing,Unknown,14,arm,N,15,sandtiger shark
1991.03.03,1991,AUSTRALIA,New South Wales,Bass Point,Scuba diving,M,18,arm,N,Unknown,sandtiger shark
1937.01.27,1937,AUSTRALIA,New South Wales,"Lake Conjola, near Milton",Holding shark's tail ,M,18,arm,N,Unknown,sandtiger shark
2007.08.20,2007,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,M,Unknown,arm,N,19,sandtiger shark
2005.03.12,2005,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,M,45,arm,N,15,sandtiger shark
2010.07.17.b,2010,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,13,arm,N,13,sandtiger shark
1999.12.31.b,1999,NEW ZEALAND,South Island,Oreti Beach,Swimming,F,13,arm,N,Unknown,sevengill shark
1962.06.04,1962,USA,California,"12' tank at Steinhart Aquarium, San Francisco","Scuba diving, attempting to catch a captive shark",M,55,arm,N,13,sevengill shark
2016.03.28.b,2016,USA,Florida,"Fort Myers Beach, Lee County",Unknown,M,15,arm,N,Unknown,Unknown
2013.07.09,2013,SPAIN,Catalonia,"Sant Marti dï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï",Swimming,M,48,arm,N,Unknown,Unknown
2003.10.24,2003,USA,Hawaii,Honolua Bay,Snorkeling,M,56,arm,N,12,Unknown
2009.06.16,2009,USA,Florida,"Melbourne Beach, Brevard County",Crawling,M,14,arm,N,17,Unknown
1957.04.13,1957,AUSTRALIA,Torres Strait,"Thursday Island Harbour, Queensland",Swimming between  anchored  pearling luggers,M,22,arm,N,14,Unknown
1968.04.20,1968,USA,Florida,"Palm Beach Shores, Riviera Beach, Singer Island, Palm Beach County",Unknown,M,10,arm,N,12,silky shark
2015.12.25,2015,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,arm,N,Unknown,silky shark
2007.09.03.a,2007,USA,Florida,"Fort Lauderdale, Broward County",Swimming,M,58,arm,N,9,spinner shark
1997.06.09,1997,USA,Florida, Palm Beach County,Surfing,M,18,arm,N,18,spinner shark
2009.06.27,2009,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,52,arm,N,8,copper shark
1999.02.23,1999,AUSTRALIA,New South Wales,Scotts Head,Surfing,M,35,arm,N,18,tiger shark
1989.10.14,1989,USA,Hawaii,"Kahe Point, O'ahu",Scuba diving,M,Unknown,arm,Y,16,tiger shark
1995.06.13,1995,HONG KONG,Clearwater Bay,First Beach,Swimming,F,45,arm,Y,Unknown,tiger shark
1985.10.18,1985,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i",Body boarding,M,33,arm,N,Unknown,tiger shark
1996.03.05,1996,AUSTRALIA,Queensland,Heron Island,Swimming breast stoke,F,47,arm,N,7,tiger shark
1963.11.30.a,1963,PAPUA NEW GUINEA,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",Fishing / standing in waist deep water,F,18,arm,N,14,tiger shark
1963.07.28,1963,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,"Koop Reef, Truk (Chuuk)",Spearfishing,M,26,arm,N,8,tiger shark
2017.05.28,2017,USA,Florida,Off Jupiter,Feeding sharks,M,Unknown,arm,N,9,tiger shark
2017.06.02,2017,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,arm,N,12,tiger shark
1953.03.00.a,1953,PAPUA NEW GUINEA,Milne Bay Province,"Off Rossel Island, Louisiade Archipelago",Went over side of boat at trochus ground,M,Unknown,arm,Y,Unknown,tiger shark
1935.04.25,1935,AUSTRALIA,New South Wales,Coogee,"Disappeared 11 days earlier, probable homicide victim",M,40,arm,N,Unknown,tiger shark
1933.11.18,1933,AUSTRALIA,Queensland,Near Barrow Point,Pearl diving,M,17,arm,N,Unknown,tiger shark
1929.12.26,1929,AUSTRALIA,New South Wales,"White Bay, near Bald Rock Jetty, Sydney Harbor ",Diving by wharf,M,16,arm,Y,Unknown,tiger shark
1928.04.14.R,1928,AUSTRALIA,Queensland,"Barrow Point, 100 miles north of Cooktown, Queensland",Fishing,M,Unknown,arm,N,Unknown,tiger shark
